shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LBIFERRY_OU,39.579345,-74.339891,99,3.009
LBIFERRY_OU,39.578986,-74.339821,100,3.05
LBIFERRY_OU,39.578373,-74.339556,101,3.121
LBIFERRY_OU,39.577899,-74.339269,102,3.18
LBIFERRY_OU,39.577578,-74.338815,103,3.232
LBIFERRY_OU,39.577374,-74.338247,104,3.286
LBIFERRY_OU,39.577094,-74.337608,105,3.349
LBIFERRY_OU,39.572641,-74.330347,106,4.144
LBIFERRY_OU,39.571258,-74.295975,107,7.094
LBIFERRY_OU,39.572457,-74.278946,108,8.56
LBIFERRY_OU,39.571256,-74.272809,109,9.103
LBIFERRY_OU,39.55979,-74.255054,110,11.088
LBIFERRY_OU,39.55979,-74.254141,111,11.167
LBIFERRY_OU,39.564797,-74.250413,112,11.808
LBIFERRY_OU,39.566217,-74.248689,113,12.025
LBIFERRY_OU,39.567329,-74.245697,114,12.309
LBIFERRY_OU,39.568552,-74.243817,115,12.52
LBIFERRY_OU,39.569068,-74.242745,116,12.629
LBIFERRY_OU,39.569829,-74.241579,117,12.76
LBIFERRY_OU,39.570954,-74.240394,118,12.921
LBIFERRY_OU,39.571804,-74.239544,119,13.031
LBIFERRY_OU,39.571804,-74.239544,120,13.042
LBIFERRY_OU,39.57176,-74.239403,121,13.055
LBIFERRY_OU,39.571116,-74.238148,122,13.184
LBIFERRY_IN,39.571116,-74.238148,1,
LBIFERRY_IN,39.57176,-74.239403,2,
LBIFERRY_IN,39.571804,-74.239544,3,
LBIFERRY_IN,39.571804,-74.239544,4,
LBIFERRY_IN,39.570954,-74.240394,5,
LBIFERRY_IN,39.569829,-74.241579,6,
LBIFERRY_IN,39.569068,-74.242745,7,
LBIFERRY_IN,39.568552,-74.243817,8,
LBIFERRY_IN,39.567329,-74.245697,9,
LBIFERRY_IN,39.566217,-74.248689,10,
LBIFERRY_IN,39.564797,-74.250413,11,
LBIFERRY_IN,39.55979,-74.254141,12,
LBIFERRY_IN,39.55979,-74.255054,13,
LBIFERRY_IN,39.571256,-74.272809,14,
LBIFERRY_IN,39.572457,-74.278946,15,
LBIFERRY_IN,39.571258,-74.295975,16,
LBIFERRY_IN,39.572641,-74.330347,17,
LBIFERRY_IN,39.577094,-74.337608,18,
LBIFERRY_IN,39.577374,-74.338247,19,
LBIFERRY_IN,39.577578,-74.338815,20,
LBIFERRY_IN,39.577899,-74.339269,21,
LBIFERRY_IN,39.578373,-74.339556,22,
LBIFERRY_IN,39.578986,-74.339821,23,
