busStopCount,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
0.0,29,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.54951209483613 39.6247229235197),-75.54951209483613,39.6247229235197
0.0,15,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.53828744973474 39.65500813988217),-75.53828744973474,39.65500813988217
0.0,296,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.52590823254444 39.53413321360531),-75.52590823254444,39.53413321360531
0.0,107,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.52659414178191 39.62482906965464),-75.52659414178191,39.62482906965464
0.0,1153,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.526823468347 39.655060703903494),-75.526823468347,39.655060703903494
0.0,23,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.51468746004296 39.56441659265036),-75.51468746004296,39.56441659265036
0.0,105,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.51491112153629 39.59464859943648),-75.51491112153629,39.59464859943648
0.0,367,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.51513512041019 39.62488044739671),-75.51513512041019,39.62488044739671
4.0,1357,0.0,0.0,0.0,0.0,165.0,0.450318205961788,724.7171270654536,POINT (-75.51535945722846 39.655112136498396),-75.51535945722846,39.655112136498396
0.0,20,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.50302000930076 39.534234513922115),-75.50302000930076,39.534234513922115
0.0,86,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.50323836669101 39.56446673300965),-75.50323836669101,39.56446673300965
1.0,393,0.0,0.0,0.0,0.0,39.0,0.450318205961788,724.7171270654536,POINT (-75.50367607000304 39.62493069491037),-75.50367607000304,39.62493069491037
0.0,439,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.50389541702593 39.65516243765826),-75.50389541702593,39.65516243765826
0.0,26,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.50411509502977 39.68539402156128),-75.50411509502977,39.68539402156128
0.0,7,0.0,0.0,0.0,0.0,0.0,0.450318205961788,724.7171270654536,POINT (-75.49157585498575 39.53428347414993),-75.49157585498575,39.53428347414993
