ActualBusStop,PredictedBusStop,Error,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
5.0,0.92,4.08,213,0.0,0.0,0.0,0.0,518.0,0.45,724.72,POINT (-75.19486803904697 39.83748595178822),-75.195,39.837
7.0,2.14,4.86,2680,0.0,0.0,79.0,79.0,297.0,0.45,724.72,POINT (-75.1973117708787 40.68391165684588),-75.197,40.684
2.0,0.73,1.27,154,0.0,0.0,0.0,0.0,388.0,0.45,724.72,POINT (-75.18225951749505 39.41424501857899),-75.182,39.414
2.0,1.7,0.3,2272,0.0,0.0,0.0,0.0,136.0,0.45,724.72,POINT (-75.18321278279859 39.77704091819026),-75.183,39.777
1.0,1.06,-0.06,1383,0.0,0.0,0.0,0.0,46.0,0.45,724.72,POINT (-75.18337334425145 39.837504689547664),-75.183,39.838
3.0,1.69,1.31,1961,0.0,0.0,0.0,0.0,285.0,0.45,724.72,POINT (-75.18345380691088 39.867736338009365),-75.183,39.868
5.0,1.99,3.01,2605,0.0,0.0,32.0,32.0,210.0,0.45,724.72,POINT (-75.18567292956962 40.68393096062789),-75.186,40.684
2.0,1.25,0.75,1655,0.0,0.0,0.0,0.0,67.0,0.45,724.72,POINT (-75.17172814220017 39.77705847960718),-75.172,39.777
2.0,2.07,-0.07,2714,0.0,0.0,0.0,0.0,221.0,0.45,724.72,POINT (-75.1718033338354 39.80729046307893),-75.172,39.807
2.0,1.3,0.7,1698,0.0,0.0,0.0,0.0,92.0,0.45,724.72,POINT (-75.17187863902927 39.837522288441974),-75.172,39.838
4.0,2.01,1.99,2113,0.0,0.0,0.0,0.0,475.0,0.45,724.72,POINT (-75.17195405797267 39.867753955666714),-75.172,39.868
10.0,2.14,7.86,2554,0.0,0.0,32.0,32.0,366.0,0.45,724.72,POINT (-75.17403407732587 40.6839490911427),-75.174,40.684
1.0,0.97,0.03,1292,0.0,0.0,0.0,0.0,12.0,0.45,724.72,POINT (-75.17411276070546 40.7141763191948),-75.174,40.714
1.0,0.74,0.26,163,0.0,0.0,0.0,0.0,388.0,0.45,724.72,POINT (-75.15940973560599 39.41427857240454),-75.159,39.414
2.0,2.43,-0.43,3491,0.0,0.0,0.0,0.0,135.0,0.45,724.72,POINT (-75.16031365496552 39.807306905571494),-75.16,39.807
9.0,2.89,6.11,3121,0.0,0.0,0.0,0.0,705.0,0.45,724.72,POINT (-75.160383924034 39.837538748468205),-75.16,39.838
1.0,1.0,0.0,1308,0.0,0.0,0.0,0.0,30.0,0.45,724.72,POINT (-75.1624686361691 40.7141932944257),-75.162,40.714
1.0,0.58,0.42,284,0.0,0.0,0.0,0.0,194.0,0.45,724.72,POINT (-75.14798483097914 39.41429366634648),-75.148,39.414
1.0,0.26,0.74,6,1.0,0.0,0.0,0.0,66.0,0.45,724.72,POINT (-75.14862885776894 39.716625684397144),-75.149,39.717
2.0,0.35,1.65,150,0.0,0.0,0.0,0.0,67.0,0.45,724.72,POINT (-75.14869379608099 39.74685801776335),-75.149,39.747
4.0,1.42,2.58,1547,0.0,0.0,0.0,0.0,268.0,0.45,724.72,POINT (-75.14882396699142 39.80732221040637),-75.149,39.807
14.0,4.08,9.92,3052,0.0,0.0,0.0,0.0,1740.0,0.45,724.72,POINT (-75.14888919991918 39.83755406962358),-75.149,39.838
3.0,0.63,2.37,459,0.0,0.0,49.0,49.0,145.0,0.45,724.72,POINT (-75.15075634277616 40.683981832358484),-75.151,40.684
3.0,1.11,1.89,1417,0.0,0.0,0.0,0.0,72.0,0.45,724.72,POINT (-75.13733427056557 39.807336377580974),-75.137,39.807
3.0,1.5,1.5,637,0.0,0.0,0.0,0.0,786.0,0.45,724.72,POINT (-75.13745475503953 39.86779996813421),-75.137,39.868
1.0,1.21,-0.21,1655,0.0,0.0,32.0,32.0,32.0,0.45,724.72,POINT (-75.13911746184102 40.68399644305388),-75.139,40.684
1.0,0.43,0.57,32,0.0,0.0,0.0,0.0,194.0,0.45,724.72,POINT (-75.12513499755322 39.41432048827617),-75.125,39.414
2.0,3.27,-1.27,4937,0.0,0.0,0.0,0.0,111.0,0.45,724.72,POINT (-75.1256795830559 39.71665279422926),-75.126,39.717
1.0,0.3,0.7,160,0.0,0.0,0.0,0.0,24.0,0.45,724.72,POINT (-75.1257894889169 39.777117360819815),-75.126,39.777
4.0,0.97,3.03,637,0.0,0.0,0.0,0.0,342.0,0.45,724.72,POINT (-75.1258445663405 39.80734940709295),-75.126,39.807
6.0,1.51,4.49,1153,0.0,1.0,0.0,0.0,539.0,0.45,724.72,POINT (-75.12589972694536 39.83758129531173),-75.126,39.838
9.0,4.39,4.61,2745,0.0,0.0,0.0,0.0,2160.0,0.45,724.72,POINT (-75.12595497087126 39.86781302544661),-75.126,39.868
3.0,3.54,-0.54,3577,0.0,0.0,0.0,0.0,1024.0,0.45,724.72,POINT (-75.12601029825834 39.89804459746832),-75.126,39.898
3.0,1.52,1.48,1248,0.0,0.0,0.0,0.0,501.0,0.45,724.72,POINT (-75.1260657092471 39.928276011347734),-75.126,39.928
5.0,1.92,3.08,1244,0.0,0.0,0.0,0.0,836.0,0.45,724.72,POINT (-75.12612120397837 39.958507267055865),-75.126,39.959
