shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SouthboundShape1,40.65649,-74.12454,107,5.013
SouthboundShape1,40.65637,-74.12464,108,5.029
SouthboundShape1,40.65603,-74.12492,109,5.073
SouthboundShape1,40.65579,-74.12514,110,5.106
SouthboundShape1,40.65547,-74.12541,111,5.148
SouthboundShape1,40.65521,-74.12564,112,5.183
SouthboundShape1,40.65515,-74.12569,113,5.191
SouthboundShape1,40.65487,-74.12592,114,5.227
SouthboundShape1,40.65452,-74.12622,115,5.274
SouthboundShape1,40.65448,-74.12626,116,5.279
SouthboundShape1,40.65432,-74.12639,117,5.3
SouthboundShape1,40.65425,-74.12645,118,5.31
SouthboundShape1,40.65423,-74.12646,119,5.312
SouthboundShape1,40.65416,-74.12652,120,5.321
SouthboundShape1,40.65412,-74.12655,121,5.326
SouthboundShape1,40.6541,-74.12656,122,5.329
SouthboundShape1,40.65408,-74.12658,123,5.332
SouthboundShape1,40.65402,-74.12663,124,5.339
SouthboundShape1,40.65401,-74.12664,125,5.341
SouthboundShape1,40.65399,-74.12666,126,5.344
SouthboundShape1,40.65398,-74.12666,127,5.345
SouthboundShape1,40.65394,-74.12669,128,5.35
SouthboundShape1,40.6539,-74.12673,129,5.355
SouthboundShape1,40.6538,-74.12683,130,5.369
SouthboundShape1,40.6537,-74.12692,131,5.383
SouthboundShape1,40.65341,-74.12717,132,5.421
SouthboundShape1,40.65327,-74.12728,133,5.44
SouthboundShape1,40.65312,-74.12741,134,5.459
SouthboundShape1,40.65255,-74.12789,135,5.535
SouthboundShape1,40.65241,-74.128,136,5.553
SouthboundShape1,40.65227,-74.12811,137,5.571
SouthboundShape1,40.65217,-74.12816,138,5.583
SouthboundShape1,40.65207,-74.12821,139,5.595
SouthboundShape1,40.65182,-74.12829,140,5.623
SouthboundShape1,40.65172,-74.12831,141,5.635
SouthboundShape1,40.65155,-74.12832,142,5.654
SouthboundShape1,40.65142,-74.12832,143,5.668
SouthboundShape1,40.65072,-74.12831,144,5.746
SouthboundShape1,40.65002,-74.1283,145,5.824
SouthboundShape1,40.64991,-74.1283,146,5.836
SouthboundShape1,40.64847,-74.12825,147,5.996
SouthboundShape1,40.64788,-74.12825,148,6.062
SouthboundShape1,40.64781,-74.12825,149,6.069
SouthboundShape1,40.64719,-74.12825,150,6.138
SouthboundShape1,40.64708,-74.12824,151,6.151
SouthboundShape1,40.64522,-74.12822,152,6.357
SouthboundShape1,40.64523,-74.12873,153,6.401
SouthboundShape1,40.64526,-74.12922,154,6.442
SouthboundShape1,40.64531,-74.12971,155,6.484
SouthboundShape1,40.64532,-74.12983,156,6.494
SouthboundShape1,40.64537,-74.13037,157,6.54
NorthboundShape2,40.64537,-74.13037,1,0
NorthboundShape2,40.64538,-74.13051,2,0.012
NorthboundShape2,40.64539,-74.13067,3,0.025
NorthboundShape2,40.64572,-74.13064,4,0.062
NorthboundShape2,40.64706,-74.13055,5,0.211
NorthboundShape2,40.64844,-74.13047,6,0.365
NorthboundShape2,40.64946,-74.13039,7,0.479
NorthboundShape2,40.64957,-74.13039,8,0.491
NorthboundShape2,40.64991,-74.13036,9,0.529
NorthboundShape2,40.64999,-74.13036,10,0.538
NorthboundShape2,40.64999,-74.1299,11,0.576
NorthboundShape2,40.64999,-74.12974,12,0.59
NorthboundShape2,40.65,-74.12919,13,0.636
NorthboundShape2,40.65001,-74.12865,14,0.682
NorthboundShape2,40.65002,-74.12843,15,0.701
NorthboundShape2,40.65002,-74.1283,16,0.711
NorthboundShape2,40.65072,-74.12831,17,0.789
NorthboundShape2,40.65131,-74.12832,18,0.855
NorthboundShape2,40.65142,-74.12832,19,0.867
NorthboundShape2,40.65155,-74.12832,20,0.882
NorthboundShape2,40.65172,-74.12831,21,0.901
NorthboundShape2,40.65182,-74.12829,22,0.912
NorthboundShape2,40.65207,-74.12821,23,0.94
NorthboundShape2,40.65217,-74.12816,24,0.952
NorthboundShape2,40.65227,-74.12811,25,0.964
NorthboundShape2,40.65241,-74.128,26,0.982
NorthboundShape2,40.65255,-74.12789,27,1
NorthboundShape2,40.65312,-74.12741,28,1.076
NorthboundShape2,40.65327,-74.12728,29,1.096
NorthboundShape2,40.65341,-74.12717,30,1.114
NorthboundShape2,40.6537,-74.12692,31,1.152
NorthboundShape2,40.6538,-74.12683,32,1.166
NorthboundShape2,40.6539,-74.12673,33,1.18
NorthboundShape2,40.65394,-74.12669,34,1.185
NorthboundShape2,40.65398,-74.12666,35,1.19
NorthboundShape2,40.65399,-74.12666,36,1.191
NorthboundShape2,40.65401,-74.12664,37,1.194
NorthboundShape2,40.65402,-74.12663,38,1.196
NorthboundShape2,40.65408,-74.12658,39,1.204
NorthboundShape2,40.6541,-74.12656,40,1.206
NorthboundShape2,40.65412,-74.12655,41,1.209
NorthboundShape2,40.65416,-74.12652,42,1.214
NorthboundShape2,40.65423,-74.12646,43,1.223
NorthboundShape2,40.65425,-74.12645,44,1.226
NorthboundShape2,40.65432,-74.12639,45,1.235
NorthboundShape2,40.65448,-74.12626,46,1.256
NorthboundShape2,40.65452,-74.12622,47,1.261
NorthboundShape2,40.65487,-74.12592,48,1.308
NorthboundShape2,40.65515,-74.12569,49,1.344
NorthboundShape2,40.65521,-74.12564,50,1.352
NorthboundShape2,40.65547,-74.12541,51,1.387
