shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1,41.11081,-74.57989,1681
R1,41.11087,-74.57877,1691
R1,41.11092,-74.57859,1701
R1,41.11108,-74.57831,1711
R1,41.11125,-74.57751,1721
R1,41.11225,-74.57779,1731
R1,41.11225,-74.57779,1741
R1,41.11223,-74.57945,1751
R1,41.11263,-74.5794,1761
R1,41.11297,-74.57889,1771
R1,41.11405,-74.57842,1781
R1,41.1143,-74.57846,1791
R1,41.114663,-74.579162,1801
R1,41.115621,-74.578932,1811
R1,41.115732,-74.579862,1821
R1,41.11802,-74.579522,1831
R1,41.118187,-74.580562,1841
R1,41.11812,-74.58051,1851
R1,41.11504,-74.58116,1861
R1,41.1147,-74.58118,1871
R1,41.11396,-74.58102,1881
R1,41.1122,-74.58017,1891
R1,41.11172,-74.57999,1901
R1,41.1114,-74.57992,1911
R1,41.11064,-74.57988,1921
R1,41.11045,-74.57991,1931
R1,41.10845,-74.58064,1941
R1,41.10636,-74.58146,1951
R1,41.10537,-74.58171,1961
R1,41.10475,-74.58168,1971
R1,41.10377,-74.58139,1981
R1,41.10338,-74.58115,1991
R1,41.10286,-74.58068,2001
R1,41.10254,-74.58026,2011
R1,41.10214,-74.57956,2021
R1,41.10177,-74.57871,2031
R1,41.10159,-74.57857,2041
R1,41.1014,-74.5785,2051
R1,41.10106,-74.57881,2061
R1,41.10054,-74.57939,2071
R1,41.10029,-74.57957,2081
R1,41.1,-74.57968,2091
R1,41.09968,-74.57971,2101
R1,41.09917,-74.57953,2111
R1,41.09836,-74.57938,2121
R1,41.09792,-74.57946,2131
R1,41.09741,-74.57973,2141
R1,41.09612,-74.58087,2151
R1,41.09555,-74.58131,2161
R1,41.09258,-74.58344,2171
R1,41.09205,-74.58398,2181
R1,41.0908,-74.58499,2191
R1,41.08856,-74.5866,2201
R1,41.08748,-74.58714,2211
R1,41.08675,-74.58758,2221
R1,41.08625,-74.58815,2231
R1,41.08554,-74.58959,2241
R1,41.08537,-74.58979,2251
R1,41.08417,-74.59081,2261
R1,41.08367,-74.59117,2271
R1,41.08367,-74.59117,2281
R1,41.08329,-74.59143,2291
R1,41.08216,-74.59206,2301
R1,41.08052,-74.59284,2311
R1,41.07985,-74.59309,2321
R1,41.07649,-74.59487,2331
R1,41.07563,-74.59537,2341
R1,41.0751,-74.59582,2351
R1,41.0747,-74.59626,2361
R1,41.07431,-74.59678,2371
R1,41.07407,-74.59714,2381
R1,41.07313,-74.59897,2391
R1,41.07234,-74.59992,2401
R1,41.07187,-74.60028,2411
R1,41.06902,-74.60212,2421
R1,41.06853,-74.60238,2431
R1,41.06785,-74.60263,2441
R1,41.06593,-74.60292,2451
R1,41.06495,-74.6032,2461
R1,41.06355,-74.60413,2471
R1,41.06293,-74.60442,2481
R1,41.0623,-74.60449,2491
R1,41.06136,-74.60438,2501
R1,41.06097,-74.6044,2511
R1,41.06054,-74.60453,2521
R1,41.06023,-74.60469,2531
R1,41.05987,-74.60496,2541
R1,41.0584,-74.6062,2551
R1,41.05794,-74.60668,2561
R1,41.0573,-74.60751,2571
R1,41.05662,-74.60864,2581
R1,41.05411,-74.61361,2591
R1,41.05395,-74.61412,2601
R1,41.05337,-74.61672,2611
R1,41.0531,-74.61738,2621
R1,41.05291,-74.61769,2631
